# index, as_id, _pos
92,5549,"array([ 5.22201263, -6.62631204])"
93,93,"array([ 5.72756263, -7.40420047])"
94,8442,"array([ 5.23293542, -6.25530397])"
95,5551,"array([ 5.16731442, -6.69659287])"
96,7157,"array([ 5.7403003 , -6.85519157])"
97,97,"array([ 5.76570324, -6.91016341])"
98,5553,"array([ 4.66465719, -6.16414412])"
99,5554,"array([ 5.59466905, -6.37203284])"
100,10477,"array([ 5.82864853, -7.14075375])"
101,5556,"array([ 5.28371743, -6.88573833])"
102,5557,"array([ 5.53660206, -6.87128716])"
103,103,"array([ 6.08185593, -7.43614879])"
104,5558,"array([ 4.92912534, -6.99678435])"
105,5559,"array([ 5.30593739, -6.64699898])"
106,5560,"array([ 5.31813888, -6.89155986])"
107,3079,"array([ 6.04868644, -6.80943647])"
108,3080,"array([ 5.46415998, -7.40339969])"
109,109,"array([ 5.67153556, -6.88481269])"
110,3081,"array([ 5.32802307, -7.37847122])"
111,111,"array([ 5.89106384, -6.68812153])"
112,5561,"array([ 5.68374807, -6.52715279])"
113,10478,"array([ 5.33412129, -7.39802715])"
114,114,"array([ 5.6165273 , -7.34051476])"
115,5563,"array([ 5.03089555, -6.42274953])"
116,5564,"array([ 5.265138  , -6.79317435])"
117,5565,"array([ 4.97323013, -6.83972343])"
118,7160,"array([ 5.71854731, -6.73594184])"
119,5567,"array([ 4.63423384, -6.23434312])"
120,5568,"array([ 4.51482588, -6.22383757])"
121,5569,"array([ 4.54761887, -6.85873939])"
122,8445,"array([ 5.49109434, -6.54154832])"
123,5571,"array([ 5.24310908, -6.86194237])"
124,5572,"array([ 5.03148395, -6.21817699])"
125,125,"array([ 5.39598261, -6.93701569])"
126,5573,"array([ 4.86535756, -6.25511342])"
127,127,"array([ 5.9282767 , -7.19710047])"
128,7973,"array([ 6.12741652, -7.14023894])"
129,7163,"array([ 5.67812647, -7.2527203 ])"
130,10479,"array([ 5.72173715, -7.78704707])"
131,131,"array([ 5.60746933, -7.37724513])"
132,132,"array([ 5.87687614, -6.70973114])"
133,5577,"array([ 5.22414178, -6.84627887])"
134,5578,"array([ 5.3532333 , -6.15483263])"
135,8447,"array([ 5.33296158, -6.71360821])"
136,5580,"array([ 5.50851976, -6.71434924])"
137,137,"array([ 5.44798002, -6.49415701])"
138,7976,"array([ 5.73491686, -6.75726184])"
139,5582,"array([ 5.1987793 , -6.45810639])"
140,140,"array([ 5.72303879, -6.85892119])"
141,3104,"array([ 5.65929734, -6.94319604])"
142,5583,"array([ 5.04107887, -6.77276417])"
143,7977,"array([ 5.59811317, -7.06976804])"
144,144,"array([ 5.76961396, -6.95931128])"
145,145,"array([ 5.72820999, -7.34149665])"
146,146,"array([ 6.15753108, -6.58038068])"
147,7168,"array([ 5.46322654, -7.29431916])"
148,5586,"array([ 5.22320314, -6.44651918])"
149,5587,"array([ 5.56145765, -6.95222349])"
150,3110,"array([ 5.88295297, -7.03045167])"
151,3111,"array([ 5.7786178 , -6.97477629])"
152,3112,"array([ 5.37349497, -7.6807877 ])"
153,3113,"array([ 5.87685552, -6.78102266])"
154,5588,"array([ 5.53003836, -6.72065762])"
155,5589,"array([ 4.93878845, -6.44512398])"
156,5590,"array([ 5.15011018, -6.58301907])"
157,157,"array([ 5.74582052, -7.11437862])"
158,7169,"array([ 5.43329677, -7.0298258 ])"
159,159,"array([ 5.3412888 , -7.67540369])"
160,160,"array([ 6.08228448, -7.23897203])"
161,5592,"array([ 4.83324533, -6.55559477])"
162,7170,"array([ 5.7495552 , -6.78000412])"
163,163,"array([ 5.40271904, -7.21491597])"
164,5594,"array([ 5.29227677, -6.9193385 ])"
165,5595,"array([ 5.38604604, -6.75493906])"
166,5596,"array([ 5.49108979, -6.35988588])"
167,5597,"array([ 5.23682088, -6.41323819])"
168,5598,"array([ 4.75017932, -6.46497055])"
169,5599,"array([ 5.26918543, -6.55942277])"
170,5600,"array([ 5.60200503, -6.46720434])"
171,8448,"array([ 5.33014136, -6.43332988])"
172,3128,"array([ 6.22355285, -7.3948437 ])"
173,7979,"array([ 5.68505809, -6.85660922])"
174,174,"array([ 5.62087375, -6.92506298])"
175,175,"array([ 5.98772754, -6.97917201])"
176,3130,"array([ 5.5999264, -7.0992283])"
177,5603,"array([ 5.41899955, -7.54355761])"
178,3132,"array([ 5.30556721, -7.05118172])"
179,5604,"array([ 5.21015488, -6.67623646])"
180,3134,"array([ 5.95503291, -7.16086439])"
181,10577,"array([ 5.52694875, -6.9135028 ])"
182,3136,"array([ 6.27660294, -7.55506195])"
183,5606,"array([ 5.53495577, -6.67435662])"
184,5607,"array([ 5.31788193, -6.62702068])"
185,7174,"array([ 5.67410472, -7.09455913])"
186,5609,"array([ 5.51516378, -6.27043488])"
187,5610,"array([ 5.25630664, -6.97323498])"
188,3142,"array([ 5.31212536, -7.71863044])"
189,5611,"array([ 5.39260892, -6.73324062])"
190,3144,"array([ 5.09152198, -6.95937682])"
191,5612,"array([ 4.77933832, -6.55257661])"
192,7981,"array([ 5.84279044, -6.99714937])"
193,7176,"array([ 5.58778222, -6.7626932 ])"
194,194,"array([ 5.71684303, -7.37179731])"
195,195,"array([ 5.70074333, -6.70824001])"
196,196,"array([ 5.66842375, -7.18646379])"
197,3148,"array([ 6.25462699, -7.58270278])"
198,3149,"array([ 5.67937142, -6.97620195])"
199,199,"array([ 5.7738545 , -6.63472937])"
200,3150,"array([ 5.30016435, -6.98504987])"
201,5615,"array([ 4.9083174 , -6.63808574])"
202,3152,"array([ 6.10565529, -7.25029188])"
203,7177,"array([ 5.22330799, -7.43332416])"
204,204,"array([ 5.88936751, -7.72969264])"
205,5617,"array([ 5.56164631, -6.76649187])"
206,5618,"array([ 5.08945873, -6.75036639])"
207,5619,"array([ 4.62623523, -6.95893023])"
208,5620,"array([ 5.45960685, -6.46631388])"
209,209,"array([ 5.8233755 , -7.58182249])"
210,210,"array([ 5.74798822, -7.54531125])"
211,5621,"array([ 5.33697845, -6.81084092])"
212,5622,"array([ 5.30111129, -6.89892642])"
213,5623,"array([ 5.03898174, -6.82058384])"
214,7178,"array([ 5.4713863 , -7.04556952])"
215,5625,"array([ 5.32118064, -6.14399586])"
216,7179,"array([ 5.49871318, -7.33995076])"
217,217,"array([ 6.12887446, -7.21291646])"
218,5627,"array([ 5.02832032, -6.3696526 ])"
219,5628,"array([ 5.24504444, -6.5224919 ])"
220,5629,"array([ 5.11765463, -6.50591068])"
221,5630,"array([ 5.38195473, -6.71107903])"
222,5631,"array([ 5.23324332, -6.82064151])"
223,5632,"array([ 5.84899703, -7.12835188])"
224,224,"array([ 5.0986476 , -6.40492755])"
225,225,"array([ 5.64237294, -7.56300221])"
226,226,"array([ 5.88188014, -7.23076227])"
227,7180,"array([ 5.47927075, -7.36276643])"
228,7181,"array([ 5.77168827, -7.18243864])"
229,7982,"array([ 5.85677237, -7.28065917])"
230,7183,"array([ 5.53063199, -6.851979  ])"
231,8450,"array([ 5.37037522, -6.40942905])"
232,7984,"array([ 4.97814234, -6.93508955])"
233,5639,"array([ 5.42227966, -6.59383245])"
234,234,"array([ 6.12021442, -7.58636205])"
235,7985,"array([ 5.11770131, -7.03716562])"
236,5641,"array([ 5.02450481, -7.03061285])"
237,237,"array([ 5.8205576 , -7.25781694])"
238,8451,"array([ 5.97208418, -7.031671  ])"
239,239,"array([ 6.51990947, -6.86659537])"
240,7188,"array([ 5.75255691, -6.75103447])"
241,7189,"array([ 5.91459325, -7.2780758 ])"
242,5645,"array([ 5.82024937, -7.15485191])"
243,5646,"array([ 5.83958108, -7.19074972])"
244,8452,"array([ 5.63406237, -6.42070467])"
245,5648,"array([ 5.61371011, -6.57418975])"
246,10481,"array([ 5.70272489, -6.50663761])"
247,5650,"array([ 5.74333584, -7.36603355])"
248,5651,"array([ 5.67786061, -6.99864958])"
249,5652,"array([ 5.50354329, -7.38255409])"
250,5653,"array([ 5.79905409, -7.84501234])"
251,7192,"array([ 5.17058217, -7.4966902 ])"
252,5655,"array([ 5.84945408, -7.35068199])"
253,5656,"array([ 5.85150744, -7.33118389])"
254,7193,"array([ 5.23246088, -7.45395533])"
255,7194,"array([ 5.42595979, -7.10088108])"
256,7195,"array([ 5.79428207, -6.74700803])"
257,8454,"array([ 5.12286366, -6.76698455])"
258,5661,"array([ 5.8634266, -6.7302275])"
259,5662,"array([ 5.72008762, -7.04784943])"
260,8455,"array([ 4.96796856, -6.59605045])"
261,8456,"array([ 6.18224573, -7.01425535])"
262,7199,"array([ 4.95726288, -6.79304249])"
263,5666,"array([ 5.20674044, -7.13328458])"
264,7200,"array([ 5.00805149, -6.92703047])"
265,5668,"array([ 5.55786257, -6.92545817])"
266,266,"array([ 6.01484833, -7.43329489])"
267,5669,"array([ 5.40360903, -6.90440257])"
268,268,"array([ 5.50611756, -7.4390811 ])"
269,7201,"array([ 5.51219502, -7.2082875 ])"
270,270,"array([ 5.95995972, -7.07972675])"
271,271,"array([ 6.23067388, -6.89840733])"
272,3208,"array([ 5.06677391, -6.64070817])"
273,5671,"array([ 5.88264084, -7.05595116])"
274,5672,"array([ 6.07095398, -7.10645623])"
275,5673,"array([ 6.10540434, -6.9626401 ])"
276,5674,"array([ 6.04697336, -6.78306341])"
277,5675,"array([ 5.95171706, -6.70220303])"
278,278,"array([ 5.59340903, -7.57667761])"
279,5676,"array([ 6.07152058, -6.98902203])"
280,3215,"array([ 5.05511657, -6.75289654])"
281,3216,"array([ 5.13151281, -6.99016228])"
282,5677,"array([ 6.02726769, -6.7670097 ])"
283,3218,"array([ 5.93427026, -7.15323553])"
284,3219,"array([ 5.65290426, -5.98539779])"
285,3220,"array([ 5.49365156, -6.68091686])"
286,286,"array([ 5.50478565, -6.84794698])"
287,3221,"array([ 4.79918149, -6.25007055])"
288,288,"array([ 5.48716685, -6.82173538])"
289,5678,"array([ 5.98921613, -6.75554192])"
290,290,"array([ 5.62990495, -6.6595771 ])"
291,291,"array([ 6.048425  , -7.14730624])"
292,292,"array([ 6.07306397, -7.06717702])"
293,293,"array([ 5.83061164, -7.10178163])"
294,5679,"array([ 5.97480919, -6.7309592 ])"
295,5680,"array([ 5.96727614, -7.2971614 ])"
296,3225,"array([ 5.67286587, -7.23116515])"
297,297,"array([ 5.71815281, -7.09635709])"
298,5681,"array([ 5.98191066, -7.24975777])"
299,299,"array([ 5.79873759, -7.81071919])"
300,3227,"array([ 5.1343837, -6.399613 ])"
301,3228,"array([ 5.32314992, -6.51378381])"
302,5682,"array([ 5.57524324, -6.91868349])"
303,3230,"array([ 5.429305  , -5.83510024])"
304,5683,"array([ 5.32285405, -6.96099321])"
305,5684,"array([ 5.64384416, -6.9156086 ])"
306,3233,"array([ 5.12832188, -6.528932  ])"
307,7992,"array([ 6.31197952, -7.310657  ])"
308,3235,"array([ 4.77009263, -6.93633659])"
309,7203,"array([ 5.80581155, -6.92220882])"
310,5687,"array([ 5.57242585, -7.57979007])"
311,3238,"array([ 4.93789795, -6.53437429])"
312,3239,"array([ 4.87365096, -6.43653247])"
313,3240,"array([ 4.95122735, -6.21749151])"
314,5688,"array([ 6.24449366, -7.34684749])"
315,3242,"array([ 5.1878811 , -6.39140481])"
316,3243,"array([ 5.30206432, -6.85045095])"
317,3244,"array([ 5.4281967, -6.5094107])"
318,3245,"array([ 5.65224642, -6.58918504])"
319,3246,"array([ 5.20830864, -6.6512844 ])"
320,5689,"array([ 5.83289464, -7.45595873])"
321,3248,"array([ 5.02180322, -6.66446329])"
322,3249,"array([ 5.09145863, -6.48501836])"
323,7993,"array([ 5.01269758, -6.86664735])"
324,3251,"array([ 5.06538266, -6.86851473])"
325,3252,"array([ 5.0949289 , -6.33517173])"
326,3253,"array([ 4.85991171, -6.49695572])"
327,3254,"array([ 4.90798542, -6.56246592])"
328,3255,"array([ 4.96723041, -6.43752221])"
329,3256,"array([ 5.11161772, -6.73964856])"
330,3257,"array([ 5.3547674 , -6.74284607])"
331,3258,"array([ 5.41406462, -6.42783723])"
332,3259,"array([ 5.36407085, -6.87709435])"
333,3260,"array([ 4.95352499, -7.19193294])"
334,3261,"array([ 4.984653  , -6.33382663])"
335,3262,"array([ 5.00151262, -6.83002283])"
336,5691,"array([ 5.91988561, -6.67159084])"
337,3264,"array([ 5.48065049, -6.78292982])"
338,3265,"array([ 4.86557187, -6.64624021])"
339,5692,"array([ 5.65848946, -6.47101731])"
340,3267,"array([ 4.77089569, -6.3452033 ])"
341,3268,"array([ 5.1488226 , -6.84956774])"
342,3269,"array([ 5.34781945, -6.22651907])"
343,5693,"array([ 5.6180484 , -6.78019371])"
344,8457,"array([ 5.05296692, -7.02927081])"
345,7206,"array([ 5.67542685, -7.37132973])"
346,3273,"array([ 4.81360169, -6.72482316])"
347,3274,"array([ 4.93170829, -6.50066867])"
348,5696,"array([ 5.74864269, -7.09125001])"
349,7207,"array([ 5.23095006, -7.04066611])"
350,3277,"array([ 4.94186097, -6.41370608])"
351,3278,"array([ 5.17935067, -6.51917641])"
352,5698,"array([ 5.60128477, -7.41860383])"
353,7208,"array([ 6.0116769 , -7.27694757])"
354,5700,"array([ 6.01110226, -7.34171964])"
355,10482,"array([ 6.17782065, -7.21533306])"
356,5702,"array([ 6.02462595, -6.96386627])"
357,5703,"array([ 5.39140999, -7.1594004 ])"
358,5704,"array([ 5.41215859, -7.23139069])"
359,3286,"array([ 5.29853796, -6.87010033])"
360,5705,"array([ 5.54359994, -7.20730084])"
361,5706,"array([ 5.41407984, -7.20033174])"
362,7996,"array([ 6.10183255, -6.99099403])"
363,7997,"array([ 5.04096607, -7.46675696])"
364,3291,"array([ 4.97536069, -6.62429924])"
365,3292,"array([ 5.20088492, -7.09176458])"
366,7212,"array([ 5.25944124, -7.35822936])"
367,5710,"array([ 4.98514458, -6.8901691 ])"
368,10604,"array([ 5.77182032, -7.46853018])"
369,5712,"array([ 5.55262178, -7.36291059])"
370,5713,"array([ 5.04004118, -7.01300342])"
371,5714,"array([ 5.81278112, -7.32187444])"
372,8460,"array([ 5.03027452, -6.96561232])"
373,3300,"array([ 5.17887137, -6.73895623])"
374,3301,"array([ 4.71182208, -6.90516693])"
375,3302,"array([ 5.37159078, -6.60087543])"
376,376,"array([ 6.21926676, -7.21824151])"
377,377,"array([ 6.05830674, -7.0334773 ])"
378,378,"array([ 5.93251272, -6.21007662])"
379,3303,"array([ 5.2729856 , -6.67000853])"
380,3304,"array([ 4.90912644, -6.71142065])"
381,3305,"array([ 5.18545027, -6.81172403])"
382,3306,"array([ 5.14550993, -6.55331225])"
383,3307,"array([ 4.80165441, -6.94056272])"
384,3308,"array([ 4.7940743 , -6.90154235])"
385,8000,"array([ 5.32270023, -7.26145937])"
386,8001,"array([ 5.63563639, -6.94056091])"
387,7217,"array([ 5.64223283, -6.78054923])"
388,5719,"array([ 5.91214242, -6.6393033 ])"
389,3313,"array([ 5.2907863 , -6.39031298])"
390,3314,"array([ 5.58809815, -5.99929952])"
391,3315,"array([ 4.751195  , -6.38214977])"
392,3316,"array([ 4.68039863, -6.37973042])"
393,10377,"array([ 6.04382873, -7.34843708])"
394,7219,"array([ 5.58879326, -6.99036767])"
395,3319,"array([ 4.84519552, -6.37046972])"
396,3320,"array([ 5.35876772, -6.81752656])"
397,7220,"array([ 5.38583263, -7.06221496])"
398,5723,"array([ 5.78082817, -6.71693969])"
399,3323,"array([ 4.87834254, -6.18743539])"
400,400,"array([ 5.94802279, -6.60754222])"
401,3324,"array([ 5.0222324 , -6.53495646])"
402,3325,"array([ 4.81844136, -6.4145523 ])"
403,10484,"array([ 5.56193943, -6.80174111])"
404,3327,"array([ 5.70738499, -6.55881683])"
405,3328,"array([ 5.47550645, -6.63915255])"
406,3329,"array([ 5.53826019, -6.8920837 ])"
407,3330,"array([ 5.03995162, -6.68274201])"
408,7222,"array([ 5.5902313 , -6.64185369])"
409,3332,"array([ 4.71254354, -6.40421736])"
410,3333,"array([ 5.21325332, -6.73759037])"
411,3334,"array([ 5.01875679, -6.75480818])"
412,3335,"array([ 4.49440752, -6.10822789])"
413,3336,"array([ 5.32899023, -6.8701975 ])"
414,5726,"array([ 5.74510449, -7.28933023])"
415,3338,"array([ 5.61824742, -5.97383292])"
416,3339,"array([ 5.85252991, -6.3208548 ])"
417,3340,"array([ 5.18197952, -6.5641171 ])"
418,5727,"array([ 5.2310558 , -7.14287101])"
419,419,"array([ 6.48599331, -5.89447981])"
420,3342,"array([ 5.19635864, -6.53829974])"
421,3343,"array([ 4.72551274, -6.304363  ])"
422,3344,"array([ 5.49999117, -6.73710775])"
423,423,"array([ 6.17623215, -6.09992947])"
424,7223,"array([ 5.71859997, -7.06812046])"
425,3346,"array([ 5.6216278 , -6.01716365])"
426,7224,"array([ 5.64634617, -7.31563272])"
427,5730,"array([ 4.98461743, -7.02054439])"
428,5731,"array([ 5.84722368, -6.65080395])"
429,3350,"array([ 5.06448813, -6.81705551])"
430,8463,"array([ 5.57843839, -6.2905579 ])"
431,3352,"array([ 4.95079739, -6.72344004])"
432,3353,"array([ 5.25709523, -6.58835265])"
433,3354,"array([ 5.36628485, -7.45787959])"
434,7226,"array([ 5.54848085, -7.01678204])"
435,3356,"array([ 5.64430991, -7.10207516])"
436,7227,"array([ 5.5513005 , -7.22546391])"
437,3358,"array([ 6.3450688 , -6.81657689])"
438,3359,"array([ 6.33922646, -7.07102984])"
439,3360,"array([ 4.80180916, -7.06521826])"
440,3361,"array([ 5.52494157, -7.25991727])"
441,3362,"array([ 5.75822443, -7.50450439])"
442,3363,"array([ 5.06238037, -7.31838858])"
443,3364,"array([ 6.14134691, -6.79912451])"
444,3365,"array([ 5.94991245, -7.11592782])"
445,3366,"array([ 5.72477758, -7.28785803])"
446,7228,"array([ 5.46579295, -7.3781358 ])"
447,3368,"array([ 5.26626886, -7.10352877])"
448,5736,"array([ 5.57306727, -7.3557009 ])"
449,5737,"array([ 5.87083209, -6.99249344])"
450,450,"array([ 6.4117023 , -6.00722055])"
451,5738,"array([ 5.48848872, -7.19452556])"
452,5739,"array([ 5.73554406, -7.83546732])"
453,7229,"array([ 5.3436624 , -7.09973035])"
454,454,"array([ 6.09694127, -6.12869313])"
455,8005,"array([ 5.45373454, -7.20089282])"
456,456,"array([ 6.21147117, -6.06410169])"
457,5742,"array([ 5.29773791, -7.24308576])"
458,5743,"array([ 5.27000305, -7.34069625])"
459,8464,"array([ 5.70411522, -6.05136917])"
460,3378,"array([ 5.28262809, -7.3524773 ])"
461,3379,"array([ 5.48336435, -7.1332818 ])"
462,3380,"array([ 6.05901812, -7.18315769])"
463,3381,"array([ 6.14702424, -6.65371882])"
464,5745,"array([ 5.76932837, -6.07431017])"
465,5746,"array([ 5.9276661 , -7.48103081])"
466,466,"array([ 6.40841255, -6.23134975])"
467,3384,"array([ 5.91785391, -7.01177446])"
468,8007,"array([ 5.41253811, -7.87104942])"
469,3386,"array([ 5.47961902, -7.11498692])"
470,8008,"array([ 5.81019513, -6.65492665])"
471,3388,"array([ 6.24335084, -6.96655618])"
472,3389,"array([ 4.60252152, -6.26185355])"
473,3390,"array([ 5.93986365, -7.69499585])"
474,5749,"array([ 5.13190112, -6.96410605])"
475,3392,"array([ 5.61565679, -7.3623103 ])"
476,3393,"array([ 5.94865246, -7.13899817])"
477,3394,"array([ 5.92766888, -6.97379439])"
478,5750,"array([ 5.86346242, -6.86139461])"
479,7234,"array([ 5.22023001, -7.19440968])"
480,7235,"array([ 5.53636421, -7.31328188])"
481,8009,"array([ 5.69730081, -6.91132188])"
482,5754,"array([ 5.29484198, -7.10810569])"
483,5755,"array([ 6.2365357 , -7.49412201])"
484,5756,"array([ 5.7065326 , -7.17245522])"
485,3402,"array([ 5.70596528, -7.05789682])"
486,3403,"array([ 5.73122019, -6.83856506])"
487,3404,"array([ 5.71254972, -7.11760142])"
488,488,"array([ 6.37095842, -6.27489374])"
489,489,"array([ 6.37594162, -6.31156986])"
490,3405,"array([ 5.21936973, -7.25419141])"
491,8010,"array([ 5.69341466, -7.27908313])"
492,3407,"array([ 5.5117209 , -7.03099474])"
493,8011,"array([ 5.92997681, -7.39064107])"
494,3409,"array([ 4.65937206, -7.58829056])"
495,7239,"array([ 5.64329056, -7.33392211])"
496,5760,"array([ 5.78506474, -7.12006228])"
497,5761,"array([ 5.52248117, -7.24274522])"
498,5762,"array([ 5.75471836, -6.86773882])"
499,5763,"array([ 5.607456  , -7.20149425])"
500,8012,"array([ 5.62624075, -6.80554947])"
501,5765,"array([ 6.22280776, -7.17981084])"
502,8013,"array([ 5.7907913 , -6.76968222])"
503,5767,"array([ 5.92842611, -7.3244879 ])"
504,5768,"array([ 5.35455766, -7.00562283])"
505,5769,"array([ 5.68552936, -7.48708851])"
506,3421,"array([ 5.99782138, -7.48812522])"
507,8465,"array([ 5.33864926, -6.62229636])"
508,5771,"array([ 5.72431747, -7.26963723])"
509,509,"array([ 6.31849673, -6.20121755])"
510,3424,"array([ 6.35208287, -6.61279713])"
511,5772,"array([ 5.33037995, -6.99551416])"
512,5773,"array([ 5.64631321, -7.23474621])"
513,513,"array([ 5.26326397, -6.864822  ])"
514,5774,"array([ 5.27067452, -7.16683709])"
515,3428,"array([ 5.63037072, -7.1853001 ])"
516,3429,"array([ 5.88194956, -7.44820404])"
517,517,"array([ 5.32929666, -6.68624034])"
518,8015,"array([ 5.9033448 , -7.06388134])"
519,3431,"array([ 6.08848634, -7.08597396])"
520,8016,"array([ 5.25269461, -7.47060329])"
521,8017,"array([ 5.19936655, -7.4295441 ])"
522,5778,"array([ 5.60608483, -7.28779169])"
523,5779,"array([ 5.56775881, -7.18708372])"
524,8018,"array([ 5.96275189, -7.47771994])"
525,10485,"array([ 5.40505621, -7.46286998])"
526,10380,"array([ 5.76611507, -6.76866018])"
527,8021,"array([ 5.51847527, -7.32879764])"
528,5784,"array([ 5.42810379, -6.97345554])"
529,7250,"array([ 5.53502837, -7.33514475])"
530,5786,"array([ 5.17325324, -6.79257339])"
531,8022,"array([ 5.53381306, -6.94729137])"
532,5788,"array([ 6.00133109, -7.08533707])"
533,5789,"array([ 5.34538087, -7.33502316])"
534,5790,"array([ 5.92377863, -6.75416553])"
535,3447,"array([ 5.7013523 , -7.40052516])"
536,3448,"array([ 5.64224006, -6.88738212])"
537,3449,"array([ 5.735463  , -6.22666726])"
538,3450,"array([ 5.78350071, -7.08302197])"
539,3451,"array([ 5.44740813, -7.22400221])"
540,3452,"array([ 5.82620208, -6.63709411])"
541,7252,"array([ 5.72065931, -6.59144496])"
542,3454,"array([ 5.85068003, -7.10381118])"
543,5792,"array([ 5.48580906, -7.16913822])"
544,544,"array([ 4.87909266, -6.32308297])"
545,7253,"array([ 5.31311338, -7.39133504])"
546,5794,"array([ 5.29741281, -7.38194712])"
547,3458,"array([ 5.23173521, -7.28658438])"
548,7254,"array([ 5.55965741, -7.00373968])"
549,549,"array([ 6.36585101, -6.85875685])"
550,3460,"array([ 5.92865052, -7.81465574])"
551,7255,"array([ 5.83469114, -7.02578244])"
552,552,"array([ 6.12148974, -6.08872157])"
553,3462,"array([ 5.0231836 , -7.24241115])"
554,3463,"array([ 5.65606341, -6.976208  ])"
555,555,"array([ 5.68299534, -7.53287659])"
556,3464,"array([ 5.79662061, -6.99862653])"
